Timestamp,Price
02.01.2017 16:45 - 02.01.2017 17:00,79.2
02.01.2017 17:00 - 02.01.2017 17:15,60
02.01.2017 17:15 - 02.01.2017 17:30,67.5
02.01.2017 17:30 - 02.01.2017 17:45,72
02.01.2017 17:45 - 02.01.2017 18:00,79.85
02.01.2017 18:00 - 02.01.2017 18:15,67.6
02.01.2017 18:15 - 02.01.2017 18:30,62.27
02.01.2017 18:30 - 02.01.2017 18:45,61
02.01.2017 18:45 - 02.01.2017 19:00,58.2
02.01.2017 19:00 - 02.01.2017 19:15,70.76
02.01.2017 19:15 - 02.01.2017 19:30,59.4
02.01.2017 19:30 - 02.01.2017 19:45,51.49
02.01.2017 19:45 - 02.01.2017 20:00,41.84
02.01.2017 20:00 - 02.01.2017 20:15,81.2
02.01.2017 20:15 - 02.01.2017 20:30,52
02.01.2017 20:30 - 02.01.2017 20:45,38.7
02.01.2017 20:45 - 02.01.2017 21:00,22.5
02.01.2017 21:00 - 02.01.2017 21:15,59.74
02.01.2017 21:15 - 02.01.2017 21:30,52.1
02.01.2017 21:30 - 02.01.2017 21:45,32.28
02.01.2017 21:45 - 02.01.2017 22:00,25.38
02.01.2017 22:00 - 02.01.2017 22:15,58.37
02.01.2017 22:15 - 02.01.2017 22:30,52.77
02.01.2017 22:30 - 02.01.2017 22:45,33
02.01.2017 22:45 - 02.01.2017 23:00,19.45
02.01.2017 23:00 - 02.01.2017 23:15,56
02.01.2017 23:15 - 02.01.2017 23:30,47.55
02.01.2017 23:30 - 02.01.2017 23:45,25.59
02.01.2017 23:45 - 03.01.2017 00:00,8.07
03.01.2017 00:00 - 03.01.2017 00:15,45.68
03.01.2017 00:15 - 03.01.2017 00:30,38.91
03.01.2017 00:30 - 03.01.2017 00:45,32.6
03.01.2017 00:45 - 03.01.2017 01:00,24.57
03.01.2017 01:00 - 03.01.2017 01:15,47
03.01.2017 01:15 - 03.01.2017 01:30,37.4
03.01.2017 01:30 - 03.01.2017 01:45,34.76
03.01.2017 01:45 - 03.01.2017 02:00,24
03.01.2017 02:00 - 03.01.2017 02:15,38.58
03.01.2017 02:15 - 03.01.2017 02:30,34.6
03.01.2017 02:30 - 03.01.2017 02:45,32.46
03.01.2017 02:45 - 03.01.2017 03:00,27.65
03.01.2017 03:00 - 03.01.2017 03:15,34.58
03.01.2017 03:15 - 03.01.2017 03:30,32.68
03.01.2017 03:30 - 03.01.2017 03:45,34.78
03.01.2017 03:45 - 03.01.2017 04:00,28.4
03.01.2017 04:00 - 03.01.2017 04:15,28
03.01.2017 04:15 - 03.01.2017 04:30,32
03.01.2017 04:30 - 03.01.2017 04:45,30.89
03.01.2017 04:45 - 03.01.2017 05:00,34.16
03.01.2017 05:00 - 03.01.2017 05:15,18.48
03.01.2017 05:15 - 03.01.2017 05:30,28
03.01.2017 05:30 - 03.01.2017 05:45,33.26
03.01.2017 05:45 - 03.01.2017 06:00,49
03.01.2017 06:00 - 03.01.2017 06:15,9.91
03.01.2017 06:15 - 03.01.2017 06:30,35.2
03.01.2017 06:30 - 03.01.2017 06:45,50
03.01.2017 06:45 - 03.01.2017 07:00,60.45
03.01.2017 07:00 - 03.01.2017 07:15,36.55
03.01.2017 07:15 - 03.01.2017 07:30,52
03.01.2017 07:30 - 03.01.2017 07:45,56
03.01.2017 07:45 - 03.01.2017 08:00,59.91
03.01.2017 08:00 - 03.01.2017 08:15,49.29
03.01.2017 08:15 - 03.01.2017 08:30,48.38
03.01.2017 08:30 - 03.01.2017 08:45,45.28
03.01.2017 08:45 - 03.01.2017 09:00,44.62
03.01.2017 09:00 - 03.01.2017 09:15,54
03.01.2017 09:15 - 03.01.2017 09:30,49.54
03.01.2017 09:30 - 03.01.2017 09:45,43.6
03.01.2017 09:45 - 03.01.2017 10:00,38
03.01.2017 10:00 - 03.01.2017 10:15,57.06
03.01.2017 10:15 - 03.01.2017 10:30,49.09
03.01.2017 10:30 - 03.01.2017 10:45,38.95
03.01.2017 10:45 - 03.01.2017 11:00,33.29
03.01.2017 11:00 - 03.01.2017 11:15,52.41
03.01.2017 11:15 - 03.01.2017 11:30,48.29
03.01.2017 11:30 - 03.01.2017 11:45,40
03.01.2017 11:45 - 03.01.2017 12:00,33.7
03.01.2017 12:00 - 03.01.2017 12:15,47.3
03.01.2017 12:15 - 03.01.2017 12:30,37.58
03.01.2017 12:30 - 03.01.2017 12:45,36.42
03.01.2017 12:45 - 03.01.2017 13:00,34.7
03.01.2017 13:00 - 03.01.2017 13:15,42.92
03.01.2017 13:15 - 03.01.2017 13:30,38.24
03.01.2017 13:30 - 03.01.2017 13:45,34.39
03.01.2017 13:45 - 03.01.2017 14:00,33.13
03.01.2017 14:00 - 03.01.2017 14:15,40.66
03.01.2017 14:15 - 03.01.2017 14:30,38.24
03.01.2017 14:30 - 03.01.2017 14:45,37.88
03.01.2017 14:45 - 03.01.2017 15:00,40.88
03.01.2017 15:00 - 03.01.2017 15:15,35.86
03.01.2017 15:15 - 03.01.2017 15:30,40.7
03.01.2017 15:30 - 03.01.2017 15:45,42.53
03.01.2017 15:45 - 03.01.2017 16:00,44.9
03.01.2017 16:00 - 03.01.2017 16:15,32.4
03.01.2017 16:15 - 03.01.2017 16:30,39
03.01.2017 16:30 - 03.01.2017 16:45,41.87
03.01.2017 16:45 - 03.01.2017 17:00,48.06
03.01.2017 17:00 - 03.01.2017 17:15,40.55
03.01.2017 17:15 - 03.01.2017 17:30,40.46
03.01.2017 17:30 - 03.01.2017 17:45,43.07
03.01.2017 17:45 - 03.01.2017 18:00,45.4
03.01.2017 18:00 - 03.01.2017 18:15,42.56
03.01.2017 18:15 - 03.01.2017 18:30,39.48
03.01.2017 18:30 - 03.01.2017 18:45,37.7
03.01.2017 18:45 - 03.01.2017 19:00,41.23
03.01.2017 19:00 - 03.01.2017 19:15,47
03.01.2017 19:15 - 03.01.2017 19:30,41.37
03.01.2017 19:30 - 03.01.2017 19:45,33.12
03.01.2017 19:45 - 03.01.2017 20:00,27.1
03.01.2017 20:00 - 03.01.2017 20:15,46.54
03.01.2017 20:15 - 03.01.2017 20:30,36.98
03.01.2017 20:30 - 03.01.2017 20:45,25.08
03.01.2017 20:45 - 03.01.2017 21:00,15.4
